# Issue-Key, Date-Started, Time-Spent, Comment
JIRA-TASK-234,2024-07-01 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-02 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-03 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-04 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-05 08:00:00Z,7.5h,test
#
JIRA-TASK-234,2024-07-08 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-09 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-10 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-11 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-12 08:00:00Z,7.5h,test
#
JIRA-TASK-234,2024-07-15 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-16 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-17 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-18 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-19 08:00:00Z,7.5h,test
#
JIRA-TASK-234,2024-07-22 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-23 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-24 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-25 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-26 08:00:00Z,7.5h,test
#
JIRA-TASK-234,2024-07-29 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-30 08:00:00Z,7.5h,test
JIRA-TASK-234,2024-07-31 08:00:00Z,7.5h,test
